role,path,exists,bytes,sha256,rows,columns,fasta_sequences
metadata,data/metadata/meta_v6_with_season_clade.csv,True,224123,4588ea24845789f937472e8c1f5886d1c103132036a15af45beafbf446d6f4dd,521.0,62.0,
depth_qc,data/metadata/qualified_samples_depth200_pos90.csv,True,77334,de12feeee638d5292072e5916f6d2da1541607950b75e5d6a757b1df8ea3af91,572.0,6.0,
reference,data/reference/reference.fasta,True,15242,785f6ea7847f2fd6b43a3ab9fc1f0e689e2045961d5a88a4c3a3475dafd44260,,,1.0
annotation,data/reference/genome_annotation.gff,True,2019,f4d5a17b4036c6aacae770d3fce36d1b5b06260ebdb76d9445b23d0ce3ed8e90,,,
G_reference_alignment,data/reference/EPI_ISL_412866_G_4652-5617_reference_alignment.fasta,True,1007,152ee47d9d6dad9461ad8f6a06a4efdad8c4beecd91df37f06aa2949c7ed939b,,,1.0
LoFreq_raw_calls,data/input/isnv/lofreq_raw_calls.csv,True,5781371,6b09b56514a5c4d94099b2e9b1590f9e05fc28f2d30b89ae40ccf8ee8365fcd0,51439.0,22.0,
global_G_consensus_FASTA,data/input/global/nextstrain_2026_global_G_4652-5617_filtered.fasta,True,12270562,00c15db2d31e9f7b21d2f0620d20e0ebad2310cba1863cd4c153cdd7c8760171,,,12382.0
PRJNA1037681_haplotype_G_FASTA,data/input/haplotypes/PRJNA1037681_extracted_4652-5617.fasta,True,77273,28edbbbb6c24514645cd337ec8ccf940d68bd5f33183debd976113c8d2fca2b9,,,75.0
PRJNA1037681_study_consensus_G_FASTA,data/input/consensus/PRJNA1037681_all_consensus_extracted_4652-5617.fasta,True,37851,f9f8017a8d1bf0ba843741f90692cc784fd04eb7525a45f38f37082df1bd8d03,,,38.0
PRJNA1130896_haplotype_G_FASTA,data/input/haplotypes/PRJNA1130896_extracted_4652-5617.fasta,True,149413,ff40875529860da3a8ad6114c0c0a6a16fb97e9ada1ddcff3ae38b04e1f6c881,,,145.0
PRJNA1130896_study_consensus_G_FASTA,data/input/consensus/PRJNA1130896_all_consensus_extracted_4652-5617.fasta,True,75699,673fac07b322b4d0c01ee2f31a2a09f495176d1a41ebe45e8dd0fb857fe205fc,,,76.0
