project,project_label,clade,n_samples
PRJNA1037681,Australia,A.D.3.1,31
PRJNA1037681,Australia,A.D.3,5
PRJNA1037681,Australia,A.D.3.3,1
PRJNA1130896,United States,A.D.1.5,37
PRJNA1130896,United States,A.D.5.2,14
PRJNA1130896,United States,A.D.1,4
PRJNA1130896,United States,A.D.1.9,3
PRJNA1130896,United States,A.D.1.6,2
PRJNA1130896,United States,A.D.1.8,2
PRJNA1130896,United States,A.D.3,2
PRJNA1130896,United States,A.D.3.2,2
PRJNA1130896,United States,A.D.5.3,2
PRJNA1130896,United States,A.D.3.1,1
PRJNA1130896,United States,A.D.3.3,1
PRJNA1130896,United States,A.D.3.4,1
PRJNA1130896,United States,A.D.5.1,1
