project,project_label,SampleID,global_short_label,candidate_G_iSNVs
PRJNA1037681,Australia,SRR26779971,AU-S01,6
PRJNA1037681,Australia,SRR26780187,AU-S02,5
PRJNA1037681,Australia,SRR26780146,AU-S03,5
PRJNA1037681,Australia,SRR26780067,AU-S04,7
PRJNA1037681,Australia,SRR26780213,AU-S05,0
PRJNA1037681,Australia,SRR26780216,AU-S06,5
PRJNA1037681,Australia,SRR26779994,AU-S07,5
PRJNA1037681,Australia,SRR26780217,AU-S08,5
PRJNA1037681,Australia,SRR26780219,AU-S09,3
PRJNA1037681,Australia,SRR26780046,AU-S10,5
PRJNA1037681,Australia,SRR26780050,AU-S11,6
PRJNA1037681,Australia,SRR26780211,AU-S12,4
PRJNA1037681,Australia,SRR26780044,AU-S13,3
PRJNA1037681,Australia,SRR26780042,AU-S14,5
PRJNA1037681,Australia,SRR26780123,AU-S15,3
PRJNA1037681,Australia,SRR26780126,AU-S16,5
PRJNA1037681,Australia,SRR26780127,AU-S17,7
PRJNA1037681,Australia,SRR26779980,AU-S18,5
PRJNA1037681,Australia,SRR26779989,AU-S19,6
PRJNA1037681,Australia,SRR26780034,AU-S20,6
PRJNA1037681,Australia,SRR26780110,AU-S21,3
PRJNA1037681,Australia,SRR26780119,AU-S22,5
PRJNA1037681,Australia,SRR26780041,AU-S23,9
PRJNA1037681,Australia,SRR26779976,AU-S24,10
PRJNA1037681,Australia,SRR26780048,AU-S25,9
PRJNA1037681,Australia,SRR26779974,AU-S26,6
PRJNA1037681,Australia,SRR26779981,AU-S27,7
PRJNA1037681,Australia,SRR26779973,AU-S28,6
PRJNA1037681,Australia,SRR26779985,AU-S29,5
PRJNA1037681,Australia,SRR26780115,AU-S30,7
PRJNA1037681,Australia,SRR26780033,AU-S31,7
PRJNA1037681,Australia,SRR26780205,AU-S32,5
PRJNA1037681,Australia,SRR26780206,AU-S33,5
PRJNA1037681,Australia,SRR26780112,AU-S34,7
PRJNA1037681,Australia,SRR26780031,AU-S35,5
PRJNA1037681,Australia,SRR26780117,AU-S36,1
PRJNA1037681,Australia,SRR26780237,AU-S37,6
PRJNA1130896,United States,SRR29679874,US-S01,3
PRJNA1130896,United States,SRR29679814,US-S02,2
PRJNA1130896,United States,SRR29679731,US-S03,3
PRJNA1130896,United States,SRR29679732,US-S04,4
PRJNA1130896,United States,SRR29679729,US-S05,2
PRJNA1130896,United States,SRR29679728,US-S06,3
PRJNA1130896,United States,SRR29679823,US-S07,2
PRJNA1130896,United States,SRR29679723,US-S08,2
PRJNA1130896,United States,SRR29679720,US-S09,4
PRJNA1130896,United States,SRR29679721,US-S10,7
PRJNA1130896,United States,SRR29679826,US-S11,3
PRJNA1130896,United States,SRR29679834,US-S12,2
PRJNA1130896,United States,SRR29679843,US-S13,2
PRJNA1130896,United States,SRR29679844,US-S14,8
PRJNA1130896,United States,SRR29679830,US-S15,4
PRJNA1130896,United States,SRR29679833,US-S16,9
PRJNA1130896,United States,SRR29679837,US-S17,2
PRJNA1130896,United States,SRR29679854,US-S18,3
PRJNA1130896,United States,SRR29679842,US-S19,3
PRJNA1130896,United States,SRR29679864,US-S20,9
PRJNA1130896,United States,SRR29679754,US-S21,3
PRJNA1130896,United States,SRR29679851,US-S22,3
PRJNA1130896,United States,SRR29679716,US-S23,3
PRJNA1130896,United States,SRR29679712,US-S24,5
PRJNA1130896,United States,SRR29679713,US-S25,0
PRJNA1130896,United States,SRR29679709,US-S26,7
PRJNA1130896,United States,SRR29679852,US-S27,2
PRJNA1130896,United States,SRR29679706,US-S28,3
PRJNA1130896,United States,SRR29692831,US-S29,3
PRJNA1130896,United States,SRR29679738,US-S30,2
PRJNA1130896,United States,SRR29692828,US-S31,2
PRJNA1130896,United States,SRR29679737,US-S32,6
PRJNA1130896,United States,SRR29679704,US-S33,5
PRJNA1130896,United States,SRR29692881,US-S34,4
PRJNA1130896,United States,SRR29692965,US-S35,6
PRJNA1130896,United States,SRR29679809,US-S36,3
PRJNA1130896,United States,SRR29692875,US-S37,4
PRJNA1130896,United States,SRR29692880,US-S38,2
PRJNA1130896,United States,SRR29679753,US-S39,3
PRJNA1130896,United States,SRR29692865,US-S40,3
PRJNA1130896,United States,SRR29692967,US-S41,3
PRJNA1130896,United States,SRR29692873,US-S42,6
PRJNA1130896,United States,SRR29692998,US-S43,2
PRJNA1130896,United States,SRR29692929,US-S44,3
PRJNA1130896,United States,SRR29692933,US-S45,2
PRJNA1130896,United States,SRR29692941,US-S46,0
PRJNA1130896,United States,SRR29692982,US-S47,7
PRJNA1130896,United States,SRR29692991,US-S48,6
PRJNA1130896,United States,SRR29692989,US-S49,5
PRJNA1130896,United States,SRR29692818,US-S50,4
PRJNA1130896,United States,SRR29692984,US-S51,5
PRJNA1130896,United States,SRR29692985,US-S52,3
PRJNA1130896,United States,SRR29692936,US-S53,6
PRJNA1130896,United States,SRR29692939,US-S54,3
PRJNA1130896,United States,SRR29692926,US-S55,1
PRJNA1130896,United States,SRR29692928,US-S56,4
PRJNA1130896,United States,SRR29692943,US-S57,6
PRJNA1130896,United States,SRR29692824,US-S58,7
PRJNA1130896,United States,SRR29692935,US-S59,1
PRJNA1130896,United States,SRR29692977,US-S60,3
PRJNA1130896,United States,SRR29692981,US-S61,6
PRJNA1130896,United States,SRR29692889,US-S62,3
PRJNA1130896,United States,SRR29692974,US-S63,2
PRJNA1130896,United States,SRR29692975,US-S64,6
PRJNA1130896,United States,SRR29693060,US-S65,3
PRJNA1130896,United States,SRR29692887,US-S66,2
PRJNA1130896,United States,SRR29692884,US-S67,3
PRJNA1130896,United States,SRR29692854,US-S68,2
PRJNA1130896,United States,SRR29692857,US-S69,3
PRJNA1130896,United States,SRR29693059,US-S70,7
PRJNA1130896,United States,SRR29693058,US-S71,4
PRJNA1130896,United States,SRR29693057,US-S72,7
